"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Mir7050","Group_safe",0.979138297012344,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.03769613019832,0.0533840394211912
"Mir7051","Group_safe",0.493013444006983,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.91736159738636,0.939122442150241
"Mir7052","Group_safe",0.651388779324948,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.18979626601017,0.250714555734502
"Mir7061","Group_safe",0.223852808563121,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.25998967171033,-1.94347378266537
"Mir7063","Group_safe",0.688214983662538,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.652033471072921,-0.616982070137316
"Mir7079","Group_safe",0.386509155873569,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.53726653755079,0.620367327074817
"Mir7089","Group_safe",0.530270944013904,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.545401695791392,-0.874608908924563
"Mir7115","Group_safe",0.210178486427364,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.413666067826436,-1.27346147375681
"Mir7211","Group_safe",0.781619304497798,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.611218108473879,-0.710240808355228
"Mir7231","Group_safe",0.791451023741653,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.60012381444725,0.678183542348871
"Mir7237","Group_safe",0.515061711182747,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",2.15028490753236,1.10452782607162
"Mir7240","Group_safe",0.657344240907367,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.623589321069044,-0.681331872709022
"Mir744","Group_safe",0.844807668449939,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.794089166904597,-0.332627080682373
"Mir761","Group_safe",0.886846567026366,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.05877785181772,0.0823999210576344
"Mir7656","Group_safe",0.968064384939893,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.935337834838985,-0.0964405484801096
"Mir7662","Group_safe",0.973513888942094,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.984112927484154,-0.0231042197969958
"Mir7664","Group_safe",0.588985515690469,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.496833135426789,-1.00916670006939
"Mir7666","Group_safe",0.491137163103944,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.657833081636182,-0.604206533487557
"Mir7667","Group_safe",0.0156084936349313,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",5.03833083375491,2.3329458573931
